document_index,sentence,sentence_index,class
business_0,Lufthansa flies back to profit Lufthansa has returned to profit in 2004 after posting huge losses in 2003.,business_0_0,business
business_0,"In a preliminary report, Lufthansa announced net profits of 400m euros ($527.61m; £274.73m), compared with a loss of 984m euros in 2003.",business_0_1,business
business_0,"Operating profits were at 380m euros, ten times more than in 2003.",business_0_2,business
business_0,Lufthansa was hit in 2003 by tough competition and a dip in demand following the Iraq war and the killer SARS virus.,business_0_3,business
business_0,Lufthansa was also hit by troubles at Lufthansa's US catering business.,business_0_4,business
business_0,"Last year, Lufthansa showed signs of recovery even as some European and US airlines were teetering on the brink of bankruptcy.",business_0_5,business
business_0,The board of Lufthansa has recommended paying a 2004 dividend of 0.30 euros per share.,business_0_6,business
business_0,"In 2003, shareholders did not get a dividend.",business_0_7,business
business_0,Lufthansa said that Lufthansa will give all the details of Lufthansa's 2004 results on 23 March.,business_0_8,business
business_1,"Japanese growth grinds to a halt Growth in Japan evaporated in the three months to September, sparking renewed concern about an economy not long out of a decade-long trough.",business_1_0,business
business_1,"Output in the three months to September grew just 0.1%, an annual rate of 0.3%.",business_1_1,business
business_1,"Exports - the usual engine of recovery - faltered, while domestic demand stayed subdued and corporate investment also fell short.",business_1_2,business
business_1,"The growth falls well short of expectations, but does mark a sixth straight quarter of expansion.",business_1_3,business
business_1,"an economy not long out of a decade-long trough had stagnated throughout the 1990s, experiencing only brief spurts of expansion amid long periods in the doldrums.",business_1_4,business
business_1,One result was deflation - prices falling rather than rising - which made Japanese shoppers cautious and kept Japanese shoppers from spending.,business_1_5,business
business_1,The effect was to leave an economy not long out of a decade-long trough more dependent than ever on exports for an economy not long out of a decade-long trough's recent recovery.,business_1_6,business
business_1,"But high oil prices have knocked 0.2% off the growth rate, while the falling dollar means products shipped to the US are becoming relatively more expensive.",business_1_7,business
business_1,The performance for the third quarter marks a sharp downturn from earlier in the year.,business_1_8,business
business_1,"The first quarter showed annual growth of 6.3%, with the second showing 1.1%, and economists had been predicting as much as 2% this time around.",business_1_9,business
business_1,"""Exports slowed while capital spending became weaker,"" said Hiromichi Shirakawa, chief economist at UBS Securities in Tokyo.",business_1_10,business
business_1,"""Personal consumption looks good, but Personal consumption was mainly due to temporary factors such as the Olympics.",business_1_11,business
business_1,"""The amber light is flashing.""",business_1_12,business
business_1,"The government may now find it more difficult to raise taxes, a policy The government will have to implement when an economy not long out of a decade-long trough picks up to help deal with Japan's massive public debt.",business_1_13,business
business_2,WorldCom director admits lying The former chief financial officer at WorldCom has admitted before a New York court that The former chief financial officer at US telecoms firm WorldCom used to lie to fellow board members.,business_2_0,business
business_2,"Speaking at the trial of The former chief financial officer at US telecoms firm WorldCom's former boss Bernard Ebbers, The former chief financial officer at US telecoms firm WorldCom said The former chief financial officer at US telecoms firm WorldCom lied to the board to cover up the hole in WorldCom's finances.",business_2_1,business
business_2,his former boss Bernard Ebbers is on trial for fraud and conspiracy in relation to WorldCom's collapse in 2002.,business_2_2,business
business_2,his former boss Bernard Ebbers pleads not guilty.,business_2_3,business
business_2,WorldCom had been overstating WorldCom's accounts by $11bn (£8.5bn).,business_2_4,business
business_2,"The former chief financial officer at US telecoms firm WorldCom has already pleaded guilty to fraud and will be sentenced following his former boss Bernard Ebbers's trial, where The former chief financial officer at US telecoms firm WorldCom is appearing as a prosecution witness.",business_2_5,business
business_2,his former boss Bernard Ebbers has always insisted that his former boss Bernard Ebbers was unaware of any hidden shortfalls in WorldCom's finances.,business_2_6,business
business_2,"In the New York court on Wednesday, his former boss Bernard Ebbers's lawyer Reid Weingarten asked The former chief financial officer at US telecoms firm WorldCom: ""If The former chief financial officer at US telecoms firm WorldCom believe something is in your interest, The former chief financial officer at US telecoms firm WorldCom are willing and able to lie to accomplish it, isn't that right?""",business_2_7,business
business_2,"""On Wednesday, yes.",business_2_8,business
business_2,"The former chief financial officer at US telecoms firm WorldCom was lying,"" replied The former chief financial officer at US telecoms firm WorldCom.",business_2_9,business
